;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
520;6;2.9e-05;1.1e-05;1.8e-05
521;6;3.8e-05;1.3e-05;2.5000000000000005e-05
522;6;2.2e-05;1.3e-05;9e-06
523;6;3.1e-05;1.2e-05;1.9e-05
524;6;2.1e-05;1.2e-05;8.999999999999999e-06
525;6;3.3e-05;1.5e-05;1.8000000000000004e-05
526;6;4.5e-05;1.6e-05;2.9000000000000004e-05
527;6;3.7e-05;1.3e-05;2.4e-05
528;6;2.9e-05;1.1e-05;1.8e-05
529;6;3.2e-05;1.3e-05;1.9e-05
530;6;3.9e-05;1.4e-05;2.4999999999999998e-05
531;6;2.3e-05;1.3e-05;1e-05
532;6;2.9e-05;1.1e-05;1.8e-05
533;6;2.7e-05;1.1e-05;1.6e-05
534;6;3.8e-05;1.2e-05;2.6000000000000002e-05
535;6;2.2e-05;1.3e-05;9e-06
536;6;3.1e-05;1.2e-05;1.9e-05
537;6;2.5e-05;1.4e-05;1.1000000000000001e-05
538;6;3.3e-05;1.4e-05;1.9e-05
539;6;2.4e-05;1.3e-05;1.1000000000000001e-05
